loss,params,n_estimators,train_time
0.6370377620153966,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9414393569009252, 'early_stopping_rounds': 20, 'learning_rate': 0.011369974706714888, 'metric': 'auc', 'min_child_samples': 170, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 124, 'objective': 'poisson', 'reg_alpha': 0.7319723861176439, 'reg_lambda': 0.9024778772198264, 'seed': 42, 'subsample': 0.7774729554474975, 'subsample_for_bin': 120000, 'vebose_eval': 1}",89,1.3452091217041016
0.6415955928295192,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9359367642529147, 'early_stopping_rounds': 20, 'learning_rate': 0.022422539521172284, 'metric': 'auc', 'min_child_samples': 35, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 96, 'objective': 'poisson', 'reg_alpha': 0.6859240996971643, 'reg_lambda': 0.9976904260422151, 'seed': 42, 'subsample': 0.7292087425776608, 'subsample_for_bin': 120000, 'vebose_eval': 1}",378,4.110965013504028
0.6403900281585896,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6959464663076285, 'early_stopping_rounds': 20, 'learning_rate': 0.010204429853304029, 'metric': 'auc', 'min_child_samples': 420, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 124, 'objective': 'poisson', 'reg_alpha': 0.6155928789948691, 'reg_lambda': 0.9016587900086503, 'seed': 42, 'subsample': 0.6424221467614384, 'subsample_for_bin': 120000, 'vebose_eval': 1}",25,0.5494964122772217
0.6395180929992287,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.983374286525538, 'early_stopping_rounds': 20, 'learning_rate': 0.016371141783592502, 'metric': 'auc', 'min_child_samples': 170, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 65, 'objective': 'poisson', 'reg_alpha': 0.7075342108812193, 'reg_lambda': 0.9531579849824273, 'seed': 42, 'subsample': 0.7769532856385873, 'subsample_for_bin': 260000, 'vebose_eval': 1}",353,3.9539852142333984
0.6378754327314422,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8921287813568067, 'early_stopping_rounds': 20, 'learning_rate': 0.011960357868540538, 'metric': 'auc', 'min_child_samples': 330, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 66, 'objective': 'poisson', 'reg_alpha': 0.5213236195200801, 'reg_lambda': 0.8690313255454594, 'seed': 42, 'subsample': 0.8333496365551395, 'subsample_for_bin': 120000, 'vebose_eval': 1}",102,1.2470464706420898
0.6388295085533284,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8527106709108194, 'early_stopping_rounds': 20, 'learning_rate': 0.03855013920712191, 'metric': 'auc', 'min_child_samples': 220, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 115, 'objective': 'poisson', 'reg_alpha': 0.8232884072245684, 'reg_lambda': 0.9600948874957592, 'seed': 42, 'subsample': 0.771936232721653, 'subsample_for_bin': 100000, 'vebose_eval': 1}",35,0.6259856224060059
0.6401405317712581,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7470135605357707, 'early_stopping_rounds': 20, 'learning_rate': 0.019422416924366363, 'metric': 'auc', 'min_child_samples': 345, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 88, 'objective': 'poisson', 'reg_alpha': 0.7499863463599679, 'reg_lambda': 0.7313084515258038, 'seed': 42, 'subsample': 0.713859505466817, 'subsample_for_bin': 60000, 'vebose_eval': 1}",47,0.7001528739929199
0.6400728525838404,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9233296755670182, 'early_stopping_rounds': 20, 'learning_rate': 0.036257537303280504, 'metric': 'auc', 'min_child_samples': 110, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 100, 'objective': 'poisson', 'reg_alpha': 0.9238761208992095, 'reg_lambda': 0.6434873820460825, 'seed': 42, 'subsample': 0.6472474262556682, 'subsample_for_bin': 200000, 'vebose_eval': 1}",184,2.103867530822754
0.640029903145533,"{'boosting_type': 'goss', 'colsample_bytree': 0.786192916516243, 'early_stopping_rounds': 20, 'learning_rate': 0.014469998537814367, 'metric': 'auc', 'min_child_samples': 55, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 105, 'objective': 'poisson', 'reg_alpha': 0.4758667447209402, 'reg_lambda': 0.8659182092938569, 'seed': 42, 'subsample': 0.5982015555597892, 'subsample_for_bin': 40000, 'vebose_eval': 1}",123,1.5592479705810547
0.638685820914408,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8228392561003394, 'early_stopping_rounds': 20, 'learning_rate': 0.025796649610301974, 'metric': 'auc', 'min_child_samples': 70, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 79, 'objective': 'poisson', 'reg_alpha': 0.6184804208689095, 'reg_lambda': 0.9173869597669425, 'seed': 42, 'subsample': 0.8594538482140456, 'subsample_for_bin': 160000, 'vebose_eval': 1}",58,0.8615572452545166
0.639700500012045,"{'boosting_type': 'goss', 'colsample_bytree': 0.7080538068813657, 'early_stopping_rounds': 20, 'learning_rate': 0.012135399677096053, 'metric': 'auc', 'min_child_samples': 490, 'nthread': 10, 'num_boost_round': 1000, 'num_leaves': 43, 'objective': 'poisson', 'reg_alpha': 0.7230089343816954, 'reg_lambda': 0.6819859143797129, 'seed': 42, 'subsample': 0.9109333376035007, 'subsample_for_bin': 120000, 'vebose_eval': 1}",10,0.2838413715362549
